"date","close","volume","open","high","low"
"16:00","71.16","10,747,107","71.54","71.77","70.50"
"2016/11/08","71.1600","10723830.0000","71.5400","71.7700","70.5000"
"2016/11/07","71.2700","12185850.0000","69.5500","71.7200","69.5000"
"2016/11/04","67.5700","8210545.0000","67.5100","68.7305","66.5750"
"2016/11/03","67.9600","7728528.0000","69.0800","69.1400","66.6400"
"2016/11/02","68.7600","7389656.0000","69.5800","70.5200","68.6355"
"2016/11/01","69.0500","11821160.0000","71.4200","71.8100","68.2900"
"2016/10/31","71.1600","6305174.0000","70.7900","71.6250","70.7500"
"2016/10/28","70.5600","7263016.0000","71.0200","72.1000","70.4300"
"2016/10/27","70.6800","9713501.0000","72.7100","72.8500","70.3850"
"2016/10/26","72.1600","8341729.0000","71.2700","72.9500","71.2000"
"2016/10/25","71.8700","9919476.0000","70.5900","72.3000","70.2500"
"2016/10/24","70.7100","8491206.0000","68.0000","70.7900","67.9900"
"2016/10/21","67.5400","6986932.0000","67.4900","67.6600","66.9000"
"2016/10/20","67.7300","7797116.0000","67.2500","67.9500","66.3000"
"2016/10/19","66.4700","4963452.0000","66.1600","66.7800","65.8200"
"2016/10/18","66.6100","6722654.0000","66.5200","66.9900","66.2500"
"2016/10/17","65.6100","4876561.0000","65.9800","66.6000","65.5200"
"2016/10/14","65.9900","8264837.0000","66.1500","66.6000","65.6000"
"2016/10/13","65.3500","9750535.0000","65.6500","65.8000","63.7000"
"2016/10/12","66.4300","10490910.0000","65.8600","66.7791","65.3100"
"2016/10/11","66.1300","9703113.0000","66.8800","66.9800","65.6200"
"2016/10/10","67.1000","7183885.0000","67.2000","67.5600","66.4700"
"2016/10/07","66.8500","7153233.0000","67.7900","67.9700","66.6600"
"2016/10/06","67.3400","8991473.0000","67.4100","67.8300","66.2600"
"2016/10/05","68.2300","7544690.0000","68.8800","69.5800","68.0200"
"2016/10/04","68.3000","7037180.0000","68.5500","69.7000","67.7900"
"2016/10/03","68.4500","6062466.0000","68.5200","69.5100","68.3310"
"2016/09/30","68.5200","10745330.0000","67.7700","69.1900","67.3700"
"2016/09/29","67.4000","8411200.0000","66.6700","67.6100","66.0514"
"2016/09/28","66.7800","7994256.0000","66.6400","66.8300","65.9300"
"2016/09/27","66.5400","10062720.0000","64.0900","66.6400","64.0600"
"2016/09/26","64.3400","5745935.0000","64.2100","64.6000","63.5300"
"2016/09/23","64.9500","6903061.0000","65.1000","65.2900","64.6600"
"2016/09/22","65.0200","7700064.0000","65.2400","65.4400","64.6500"
"2016/09/21","64.8600","8402603.0000","63.2800","64.9800","63.2700"
"2016/09/20","63.0900","8266230.0000","64.4000","64.4000","62.7400"
"2016/09/19","63.6700","10408900.0000","63.5000","65.2600","63.2100"
"2016/09/16","62.8400","22559810.0000","62.9100","63.2500","62.1200"
"2016/09/15","62.6900","12881520.0000","60.5000","62.7600","60.3600"
"2016/09/14","60.4000","7980312.0000","60.0100","60.6000","59.5100"
"2016/09/13","59.8700","11773360.0000","60.6000","61.3000","59.5300"
"2016/09/12","60.7500","14938740.0000","58.7300","60.8650","57.3150"
"2016/09/09","59.5200","17437500.0000","61.9500","62.3000","59.0000"
"2016/09/08","62.6400","7874553.0000","62.1300","62.7400","61.4200"
"2016/09/07","62.1900","9942178.0000","62.9200","63.2285","61.8300"
"2016/09/06","63.1200","7646961.0000","62.7500","63.1200","62.4290"
"2016/09/02","62.5300","8077205.0000","63.2800","63.3500","61.8200"
"2016/09/01","63.1500","10707960.0000","61.3900","63.3800","61.3400"
"2016/08/31","61.3400","9706761.0000","61.7500","61.9200","61.1600"
"2016/08/30","61.6300","7135670.0000","61.9100","62.2426","61.4600"
"2016/08/29","61.9900","6861156.0000","62.2800","62.5300","61.8850"
"2016/08/26","62.0300","7496162.0000","61.6900","62.3800","61.2000"
"2016/08/25","61.5300","10142590.0000","61.9600","61.9900","60.7600"
"2016/08/24","61.9400","7456880.0000","63.1300","63.1600","61.6500"
"2016/08/23","62.9100","8485669.0000","63.0400","63.3200","62.7300"
"2016/08/22","62.5200","6116999.0000","62.4500","62.6120","61.7110"
"2016/08/19","62.2600","7281832.0000","62.0700","62.7300","61.8000"
"2016/08/18","62.1000","8285031.0000","61.0600","62.2000","60.8200"
"2016/08/17","61.1500","14876310.0000","62.6000","62.7400","60.6550"
"2016/08/16","62.6000","7190588.0000","62.8900","62.9900","62.4100"
"2016/08/15","62.9800","14327290.0000","63.1100","63.4964","62.1302"
"2016/08/12","63.0400","35620280.0000","61.9000","63.3800","60.6300"
"2016/08/11","59.7000","16720840.0000","58.8200","59.9500","58.7000"
"2016/08/10","58.5100","9377007.0000","59.4100","59.5000","58.3237"
"2016/08/09","58.8900","9302198.0000","59.0300","59.4600","58.7400"
"2016/08/08","58.7400","7619657.0000","59.0000","59.1400","58.1200"
